,model,price,state
157,iPhone 6S 64GB Cinza Espacial,1629.0,Muito Bom
158,iPhone 6S 64GB Cinza Espacial,1649.0,Bom
159,iPhone 6S 64GB Cinza Espacial,1289.0,Bom - Sem Touch ID
160,iPhone 6 64GB Prateado,1629.0,Excelente
161,iPhone 6 64GB Prateado,1459.0,Muito Bom
162,iPhone 6 64GB Prateado,1299.0,Bom
163,iPhone 6 64GB Prateado,1462.33,Bom - Sem Touch ID
164,iPhone 6S 128GB Cinza Espacial,1589.0,Excelente
165,iPhone 6S 128GB Cinza Espacial,1889.0,Muito Bom
166,iPhone 6S 128GB Cinza Espacial,1589.0,Bom
167,iPhone 6S 128GB Cinza Espacial,1289.0,Bom - Sem Touch ID
168,iPhone SE 64GB Cinza Espacial,1162.33,Excelente
169,iPhone SE 64GB Cinza Espacial,1299.0,Muito Bom
170,iPhone SE 64GB Cinza Espacial,1189.0,Bom
171,iPhone SE 64GB Cinza Espacial,999.0,Bom - Sem Touch ID
172,iPhone 5S 32GB Dourado,879.0,Excelente
173,iPhone 5S 32GB Dourado,879.0,Muito Bom
174,iPhone 5S 32GB Dourado,879.0,Bom
175,iPhone 5S 32GB Dourado,879.0,Bom - Sem Touch ID
176,iPhone 5 16GB Preto,649.0,Excelente
177,iPhone 5 16GB Preto,599.0,Muito Bom
178,iPhone 5 16GB Preto,529.0,Bom
179,iPhone 6 64GB Dourado,1629.0,Excelente
180,iPhone 6 64GB Dourado,1459.0,Muito Bom
181,iPhone 6 64GB Dourado,1299.0,Bom
182,iPhone 6 64GB Dourado,1462.33,Bom - Sem Touch ID
183,iPhone 6 64GB Dourado,1629.0,Excelente
184,iPhone 6 64GB Dourado,1459.0,Muito Bom
185,iPhone 6 64GB Dourado,1299.0,Bom
186,iPhone 6 64GB Dourado,1462.33,Bom - Sem Touch ID
187,iPhone 6 64GB Dourado,1629.0,Excelente
188,iPhone 6 64GB Dourado,1459.0,Muito Bom
189,iPhone 6 64GB Dourado,1299.0,Bom
190,iPhone 6 64GB Dourado,1462.33,Bom - Sem Touch ID
191,iPhone 5S 16GB Prateado,644.0,Excelente
192,iPhone 5S 16GB Prateado,669.0,Muito Bom
193,iPhone 5S 16GB Prateado,619.0,Bom
194,iPhone 5S 16GB Prateado,644.0,Bom - Sem Touch ID
195,iPhone 5S 16GB Prateado,644.0,Excelente
196,iPhone 5S 16GB Prateado,669.0,Muito Bom
197,iPhone 5S 16GB Prateado,619.0,Bom
198,iPhone 5S 16GB Prateado,644.0,Bom - Sem Touch ID
199,iPhone 5S 16GB Prateado,644.0,Excelente
200,iPhone 5S 16GB Prateado,669.0,Muito Bom
201,iPhone 5S 16GB Prateado,619.0,Bom
202,iPhone 5S 16GB Prateado,644.0,Bom - Sem Touch ID
203,iPhone 7 Plus 32GB Ouro Rosa,2869.0,Excelente
204,iPhone 7 Plus 32GB Ouro Rosa,2869.0,Muito Bom
205,iPhone 7 Plus 32GB Ouro Rosa,2869.0,Bom
206,iPhone 5S 64GB Prateado,879.0,Excelente
207,iPhone 5S 64GB Prateado,879.0,Muito Bom
208,iPhone 5S 64GB Prateado,879.0,Bom
209,iPhone 5S 64GB Prateado,879.0,Bom - Sem Touch ID
210,iPhone 8 Plus 256GB Cinza Espacial,3999.0,Excelente
211,iPhone 8 Plus 256GB Cinza Espacial,3999.0,Muito Bom
212,iPhone 8 Plus 256GB Cinza Espacial,3999.0,Bom
213,iPhone SE 32GB Cinza Espacial,,Excelente
214,iPhone SE 32GB Cinza Espacial,,Muito Bom
215,iPhone SE 32GB Cinza Espacial,,Bom
216,iPhone SE 32GB Cinza Espacial,,Bom - Sem Touch ID
217,iPhone SE 32GB Cinza Espacial,,Excelente
218,iPhone SE 32GB Cinza Espacial,,Muito Bom
219,iPhone SE 32GB Cinza Espacial,,Bom
220,iPhone SE 32GB Cinza Espacial,,Bom - Sem Touch ID
221,iPhone 5C 8GB Amarelo,439.0,Excelente
222,iPhone 5C 8GB Amarelo,439.0,Muito Bom
223,iPhone 5C 8GB Amarelo,439.0,Bom
224,iPhone 6S Plus 64GB Prateado,2249.0,Excelente
225,iPhone 6S Plus 64GB Prateado,2249.0,Muito Bom
226,iPhone 6S Plus 64GB Prateado,2249.0,Bom
227,iPhone 6S Plus 64GB Prateado,2249.0,Bom - Sem Touch ID
228,iPhone SE 128GB Ouro Rosa,1469.0,Excelente
229,iPhone SE 128GB Ouro Rosa,1234.0,Muito Bom
230,iPhone SE 128GB Ouro Rosa,1234.0,Bom
231,iPhone SE 128GB Ouro Rosa,999.0,Bom - Sem Touch ID
232,iPhone 6s 32GB Ouro Rosa,1495.67,Excelente
233,iPhone 6s 32GB Ouro Rosa,1659.0,Muito Bom
234,iPhone 6s 32GB Ouro Rosa,1539.0,Bom
235,iPhone 6s 32GB Ouro Rosa,1289.0,Bom - Sem Touch ID
236,Iphone 5C 32GB Azul,599.0,Excelente
237,Iphone 5C 32GB Azul,599.0,Muito Bom
238,Iphone 5C 32GB Azul,599.0,Bom
239,Samsung Galaxy S5 New Edition Duos Preto,584.0,Excelente
240,Samsung Galaxy S5 New Edition Duos Preto,599.0,Muito Bom
241,Samsung Galaxy S5 New Edition Duos Preto,569.0,Bom
242,Samsung Galaxy S8 Ametista,2099.0,Excelente
243,Samsung Galaxy S8 Ametista,1989.0,Muito Bom
244,Samsung Galaxy S8 Ametista,1889.0,Bom
245,Samsung Galaxy S8 Plus 64GB Ametista,2249.0,Excelente
246,Samsung Galaxy S8 Plus 64GB Ametista,2129.0,Muito Bom
247,Samsung Galaxy S8 Plus 64GB Ametista,2009.0,Bom
248,Samsung Galaxy S4 i9515 Branco,409.0,Excelente
249,Samsung Galaxy S4 i9515 Branco,409.0,Muito Bom
