,model,price,state
194,Samsung Galaxy A5 2016 Dourado,"539,00",Muito Bom
195,Samsung Galaxy A5 2016 Dourado,"489,00",Bom
196,Samsung Galaxy J7 Dourado,"569,00",Excelente
197,Samsung Galaxy J7 Dourado,"529,00",Muito Bom
198,Samsung Galaxy J7 Dourado,"499,00",Bom
199,Samsung Galaxy J7 Dourado,"569,00",Excelente
200,Samsung Galaxy J7 Dourado,"529,00",Muito Bom
201,Samsung Galaxy J7 Dourado,"499,00",Bom
202,Samsung Galaxy J7 2016 Metal Dourado,,Excelente
203,Samsung Galaxy J7 2016 Metal Dourado,"529,00",Muito Bom
204,Samsung Galaxy J7 2016 Metal Dourado,,Bom
205,Samsung Galaxy J5 Prime Dourado,,Excelente
206,Samsung Galaxy J5 Prime Dourado,"579,00",Muito Bom
207,Samsung Galaxy J5 Prime Dourado,,Bom
208,Samsung Galaxy S7 Edge 32GB Preto,"1.479,00",Excelente
209,Samsung Galaxy S7 Edge 32GB Preto,"1.379,00",Muito Bom
210,Samsung Galaxy S7 Edge 32GB Preto,"1.289,00",Bom
211,Samsung Galaxy J5 Prime Preto,"609,00",Excelente
212,Samsung Galaxy J5 Prime Preto,"579,00",Muito Bom
213,Samsung Galaxy J5 Prime Preto,,Bom
214,Samsung Galaxy A5 2016 Preto,"599,00",Excelente
215,Samsung Galaxy A5 2016 Preto,"539,00",Muito Bom
216,Samsung Galaxy A5 2016 Preto,"489,00",Bom
217,Samsung Galaxy J7 Prime Preto,,Excelente
218,Samsung Galaxy J7 Prime Preto,,Muito Bom
219,Samsung Galaxy J7 Prime Preto,"659,00",Bom
220,Samsung Galaxy S6 Flat Preto,,Excelente
221,Samsung Galaxy S6 Flat Preto,"759,00",Muito Bom
222,Samsung Galaxy S6 Flat Preto,,Bom
223,Samsung Galaxy E5 4G Duos Branco,"469,00",Excelente
224,Samsung Galaxy E5 4G Duos Branco,"419,00",Muito Bom
225,Samsung Galaxy E5 4G Duos Branco,,Bom
226,Samsung Galaxy E5 4G Duos Branco,"469,00",Excelente
227,Samsung Galaxy E5 4G Duos Branco,"419,00",Muito Bom
228,Samsung Galaxy E5 4G Duos Branco,,Bom
229,Samsung Galaxy A3 2016 Dourado,"569,00",Excelente
230,Samsung Galaxy A3 2016 Dourado,,Muito Bom
231,Samsung Galaxy A3 2016 Dourado,,Bom
232,Samsung Galaxy J5 8GB Branco,"449,00",Excelente
233,Samsung Galaxy J5 8GB Branco,,Muito Bom
234,Samsung Galaxy J5 8GB Branco,,Bom
235,Samsung Galaxy S3 I9300 Branco,"369,00",Excelente
236,Samsung Galaxy S3 I9300 Branco,,Muito Bom
237,Samsung Galaxy S3 I9300 Branco,,Bom
238,Samsung Galaxy J1 Mini Preto,"249,00",Excelente
239,Samsung Galaxy J1 Mini Preto,,Muito Bom
240,Samsung Galaxy J1 Mini Preto,,Bom
