,model,price,state
146,iPhone 7 128GB Vermelho,"2.639,00",Muito Bom
147,iPhone 7 128GB Vermelho,,Bom
148,iPhone 5S 32GB Cinza Espacial,"949,00",Excelente
149,iPhone 5S 32GB Cinza Espacial,"879,00",Muito Bom
150,iPhone 5S 32GB Cinza Espacial,"779,00",Bom
151,iPhone 5S 32GB Cinza Espacial,,Bom - Sem Touch ID
152,iPhone 6S 64GB Cinza Espacial,"1.949,00",Excelente
153,iPhone 6S 64GB Cinza Espacial,,Muito Bom
154,iPhone 6S 64GB Cinza Espacial,"1.649,00",Bom
155,iPhone 6S 64GB Cinza Espacial,"1.289,00",Bom - Sem Touch ID
156,iPhone 6S 64GB Cinza Espacial,"1.949,00",Excelente
157,iPhone 6S 64GB Cinza Espacial,,Muito Bom
158,iPhone 6S 64GB Cinza Espacial,"1.649,00",Bom
159,iPhone 6S 64GB Cinza Espacial,"1.289,00",Bom - Sem Touch ID
160,iPhone 6 64GB Prateado,"1.629,00",Excelente
161,iPhone 6 64GB Prateado,"1.459,00",Muito Bom
162,iPhone 6 64GB Prateado,"1.299,00",Bom
163,iPhone 6 64GB Prateado,,Bom - Sem Touch ID
164,iPhone 6S 128GB Cinza Espacial,,Excelente
165,iPhone 6S 128GB Cinza Espacial,"1.889,00",Muito Bom
166,iPhone 6S 128GB Cinza Espacial,,Bom
167,iPhone 6S 128GB Cinza Espacial,"1.289,00",Bom - Sem Touch ID
168,iPhone SE 64GB Cinza Espacial,,Excelente
169,iPhone SE 64GB Cinza Espacial,"1.299,00",Muito Bom
170,iPhone SE 64GB Cinza Espacial,"1.189,00",Bom
171,iPhone SE 64GB Cinza Espacial,"999,00",Bom - Sem Touch ID
172,iPhone 5S 32GB Dourado,,Excelente
173,iPhone 5S 32GB Dourado,"879,00",Muito Bom
174,iPhone 5S 32GB Dourado,,Bom
175,iPhone 5S 32GB Dourado,,Bom - Sem Touch ID
176,iPhone 5 16GB Preto,"649,00",Excelente
177,iPhone 5 16GB Preto,"599,00",Muito Bom
178,iPhone 5 16GB Preto,"529,00",Bom
179,iPhone 6 64GB Dourado,"1.629,00",Excelente
180,iPhone 6 64GB Dourado,"1.459,00",Muito Bom
181,iPhone 6 64GB Dourado,"1.299,00",Bom
182,iPhone 6 64GB Dourado,,Bom - Sem Touch ID
183,iPhone 6 64GB Dourado,"1.629,00",Excelente
184,iPhone 6 64GB Dourado,"1.459,00",Muito Bom
185,iPhone 6 64GB Dourado,"1.299,00",Bom
186,iPhone 6 64GB Dourado,,Bom - Sem Touch ID
187,iPhone 6 64GB Dourado,"1.629,00",Excelente
188,iPhone 6 64GB Dourado,"1.459,00",Muito Bom
189,iPhone 6 64GB Dourado,"1.299,00",Bom
190,iPhone 6 64GB Dourado,,Bom - Sem Touch ID
191,iPhone 5S 16GB Prateado,,Excelente
192,iPhone 5S 16GB Prateado,"669,00",Muito Bom
193,iPhone 5S 16GB Prateado,"619,00",Bom
194,iPhone 5S 16GB Prateado,,Bom - Sem Touch ID
195,iPhone 5S 16GB Prateado,,Excelente
196,iPhone 5S 16GB Prateado,"669,00",Muito Bom
197,iPhone 5S 16GB Prateado,"619,00",Bom
